,county,candidate,party,votes,race name,state
0,Statewide,Xavier Becerra,DEM,"1,736,781",Attorney General,CA
1,Statewide,Dave Jones,DEM,"555,816",Attorney General,CA
2,Statewide,Steven C Bailey,REP,"970,540",Attorney General,CA
3,Statewide,Eric Early,REP,"569,924",Attorney General,CA
4,Alameda,Xavier Becerra,DEM,"91,618",Attorney General,CA
5,Alameda,Dave Jones,DEM,"33,674",Attorney General,CA
6,Alameda,Steven C Bailey,REP,"19,684",Attorney General,CA
7,Alameda,Eric Early,REP,"12,449",Attorney General,CA
8,Alpine,Xavier Becerra,DEM,171,Attorney General,CA
9,Alpine,Dave Jones,DEM,50,Attorney General,CA
10,Alpine,Steven C Bailey,REP,88,Attorney General,CA
11,Alpine,Eric Early,REP,41,Attorney General,CA
12,Amador,Xavier Becerra,DEM,"1,089",Attorney General,CA
13,Amador,Dave Jones,DEM,509,Attorney General,CA
14,Amador,Steven C Bailey,REP,"1,878",Attorney General,CA
15,Amador,Eric Early,REP,709,Attorney General,CA
16,Butte,Xavier Becerra,DEM,"12,987",Attorney General,CA
17,Butte,Dave Jones,DEM,"4,103",Attorney General,CA
18,Butte,Steven C Bailey,REP,"11,655",Attorney General,CA
19,Butte,Eric Early,REP,"7,004",Attorney General,CA
20,Calaveras,Xavier Becerra,DEM,"2,621",Attorney General,CA
21,Calaveras,Dave Jones,DEM,993,Attorney General,CA
22,Calaveras,Steven C Bailey,REP,"3,640",Attorney General,CA
23,Calaveras,Eric Early,REP,"1,684",Attorney General,CA
24,Colusa,Xavier Becerra,DEM,733,Attorney General,CA
25,Colusa,Dave Jones,DEM,173,Attorney General,CA
26,Colusa,Steven C Bailey,REP,"1,058",Attorney General,CA
27,Colusa,Eric Early,REP,509,Attorney General,CA
28,Contra Costa,Xavier Becerra,DEM,"56,612",Attorney General,CA
29,Contra Costa,Dave Jones,DEM,"18,948",Attorney General,CA
30,Contra Costa,Steven C Bailey,REP,"23,585",Attorney General,CA
31,Contra Costa,Eric Early,REP,"13,595",Attorney General,CA
32,Del Norte,Xavier Becerra,DEM,"1,412",Attorney General,CA
33,Del Norte,Dave Jones,DEM,461,Attorney General,CA
34,Del Norte,Steven C Bailey,REP,"1,842",Attorney General,CA
35,Del Norte,Eric Early,REP,689,Attorney General,CA
36,El Dorado,Xavier Becerra,DEM,"11,265",Attorney General,CA
37,El Dorado,Dave Jones,DEM,"3,115",Attorney General,CA
38,El Dorado,Steven C Bailey,REP,"13,644",Attorney General,CA
39,El Dorado,Eric Early,REP,"5,465",Attorney General,CA
40,Fresno,Xavier Becerra,DEM,"29,968",Attorney General,CA
41,Fresno,Dave Jones,DEM,"7,775",Attorney General,CA
42,Fresno,Steven C Bailey,REP,"27,238",Attorney General,CA
43,Fresno,Eric Early,REP,"14,893",Attorney General,CA
44,Glenn,Xavier Becerra,DEM,694,Attorney General,CA
45,Glenn,Dave Jones,DEM,276,Attorney General,CA
46,Glenn,Steven C Bailey,REP,"1,450",Attorney General,CA
47,Glenn,Eric Early,REP,917,Attorney General,CA
48,Humboldt,Xavier Becerra,DEM,"9,529",Attorney General,CA
49,Humboldt,Dave Jones,DEM,"2,508",Attorney General,CA
50,Humboldt,Steven C Bailey,REP,"4,493",Attorney General,CA
51,Humboldt,Eric Early,REP,"2,348",Attorney General,CA
52,Imperial,Xavier Becerra,DEM,"5,202",Attorney General,CA
53,Imperial,Dave Jones,DEM,"1,462",Attorney General,CA
54,Imperial,Steven C Bailey,REP,"2,493",Attorney General,CA
55,Imperial,Eric Early,REP,"1,602",Attorney General,CA
56,Inyo,Xavier Becerra,DEM,"1,310",Attorney General,CA
57,Inyo,Dave Jones,DEM,281,Attorney General,CA
58,Inyo,Steven C Bailey,REP,"1,350",Attorney General,CA
59,Inyo,Eric Early,REP,559,Attorney General,CA
60,Kern,Xavier Becerra,DEM,"19,701",Attorney General,CA
61,Kern,Dave Jones,DEM,"6,818",Attorney General,CA
62,Kern,Steven C Bailey,REP,"35,943",Attorney General,CA
63,Kern,Eric Early,REP,"14,697",Attorney General,CA
64,Kings,Xavier Becerra,DEM,"2,943",Attorney General,CA
65,Kings,Dave Jones,DEM,"1,741",Attorney General,CA
66,Kings,Steven C Bailey,REP,"4,949",Attorney General,CA
67,Kings,Eric Early,REP,"3,338",Attorney General,CA
68,Lake,Xavier Becerra,DEM,"3,006",Attorney General,CA
69,Lake,Dave Jones,DEM,"1,046",Attorney General,CA
70,Lake,Steven C Bailey,REP,"2,407",Attorney General,CA
71,Lake,Eric Early,REP,"1,037",Attorney General,CA
72,Lassen,Xavier Becerra,DEM,565,Attorney General,CA
73,Lassen,Dave Jones,DEM,194,Attorney General,CA
74,Lassen,Steven C Bailey,REP,"1,532",Attorney General,CA
75,Lassen,Eric Early,REP,766,Attorney General,CA
76,Los Angeles,Xavier Becerra,DEM,"483,834",Attorney General,CA
77,Los Angeles,Dave Jones,DEM,"129,123",Attorney General,CA
78,Los Angeles,Steven C Bailey,REP,"164,839",Attorney General,CA
79,Los Angeles,Eric Early,REP,"95,167",Attorney General,CA
80,Madera,Xavier Becerra,DEM,"4,733",Attorney General,CA
81,Madera,Dave Jones,DEM,"1,888",Attorney General,CA
82,Madera,Steven C Bailey,REP,"7,611",Attorney General,CA
83,Madera,Eric Early,REP,"3,314",Attorney General,CA
84,Marin,Xavier Becerra,DEM,"22,797",Attorney General,CA
85,Marin,Dave Jones,DEM,"5,794",Attorney General,CA
86,Marin,Steven C Bailey,REP,"5,602",Attorney General,CA
87,Marin,Eric Early,REP,"2,198",Attorney General,CA
88,Mariposa,Xavier Becerra,DEM,"1,232",Attorney General,CA
89,Mariposa,Dave Jones,DEM,601,Attorney General,CA
90,Mariposa,Steven C Bailey,REP,"1,865",Attorney General,CA
91,Mariposa,Eric Early,REP,959,Attorney General,CA
92,Mendocino,Xavier Becerra,DEM,"4,546",Attorney General,CA
93,Mendocino,Dave Jones,DEM,"1,148",Attorney General,CA
94,Mendocino,Steven C Bailey,REP,"1,831",Attorney General,CA
95,Mendocino,Eric Early,REP,936,Attorney General,CA
96,Merced,Xavier Becerra,DEM,"5,570",Attorney General,CA
97,Merced,Dave Jones,DEM,"3,034",Attorney General,CA
98,Merced,Steven C Bailey,REP,"6,303",Attorney General,CA
99,Merced,Eric Early,REP,"2,410",Attorney General,CA
100,Modoc,Xavier Becerra,DEM,373,Attorney General,CA
101,Modoc,Dave Jones,DEM,138,Attorney General,CA
102,Modoc,Steven C Bailey,REP,999,Attorney General,CA
103,Modoc,Eric Early,REP,535,Attorney General,CA
104,Mono,Xavier Becerra,DEM,"1,211",Attorney General,CA
105,Mono,Dave Jones,DEM,342,Attorney General,CA
106,Mono,Steven C Bailey,REP,842,Attorney General,CA
107,Mono,Eric Early,REP,341,Attorney General,CA
108,Monterey,Xavier Becerra,DEM,"14,368",Attorney General,CA
109,Monterey,Dave Jones,DEM,"5,702",Attorney General,CA
110,Monterey,Steven C Bailey,REP,"7,404",Attorney General,CA
111,Monterey,Eric Early,REP,"3,044",Attorney General,CA
112,Napa,Xavier Becerra,DEM,"7,045",Attorney General,CA
113,Napa,Dave Jones,DEM,"1,935",Attorney General,CA
114,Napa,Steven C Bailey,REP,"2,902",Attorney General,CA
115,Napa,Eric Early,REP,"2,124",Attorney General,CA
116,Nevada,Xavier Becerra,DEM,"6,300",Attorney General,CA
117,Nevada,Dave Jones,DEM,"1,844",Attorney General,CA
118,Nevada,Steven C Bailey,REP,"5,539",Attorney General,CA
119,Nevada,Eric Early,REP,"1,819",Attorney General,CA
120,Orange,Xavier Becerra,DEM,"124,653",Attorney General,CA
121,Orange,Dave Jones,DEM,"39,994",Attorney General,CA
122,Orange,Steven C Bailey,REP,"113,635",Attorney General,CA
123,Orange,Eric Early,REP,"69,369",Attorney General,CA
124,Placer,Xavier Becerra,DEM,"20,429",Attorney General,CA
125,Placer,Dave Jones,DEM,"5,395",Attorney General,CA
126,Placer,Steven C Bailey,REP,"21,492",Attorney General,CA
127,Placer,Eric Early,REP,"10,349",Attorney General,CA
128,Plumas,Xavier Becerra,DEM,"1,756",Attorney General,CA
129,Plumas,Dave Jones,DEM,430,Attorney General,CA
130,Plumas,Steven C Bailey,REP,"2,086",Attorney General,CA
131,Plumas,Eric Early,REP,923,Attorney General,CA
132,Riverside,Xavier Becerra,DEM,"63,144",Attorney General,CA
133,Riverside,Dave Jones,DEM,"21,831",Attorney General,CA
134,Riverside,Steven C Bailey,REP,"58,947",Attorney General,CA
135,Riverside,Eric Early,REP,"38,152",Attorney General,CA
136,Sacramento,Xavier Becerra,DEM,"49,227",Attorney General,CA
137,Sacramento,Dave Jones,DEM,"23,219",Attorney General,CA
138,Sacramento,Steven C Bailey,REP,"29,244",Attorney General,CA
139,Sacramento,Eric Early,REP,"15,736",Attorney General,CA
140,San Benito,Xavier Becerra,DEM,"2,775",Attorney General,CA
141,San Benito,Dave Jones,DEM,748,Attorney General,CA
142,San Benito,Steven C Bailey,REP,"1,918",Attorney General,CA
143,San Benito,Eric Early,REP,891,Attorney General,CA
144,San Bernardino,Xavier Becerra,DEM,"59,282",Attorney General,CA
145,San Bernardino,Dave Jones,DEM,"19,390",Attorney General,CA
146,San Bernardino,Steven C Bailey,REP,"54,425",Attorney General,CA
147,San Bernardino,Eric Early,REP,"33,051",Attorney General,CA
148,San Diego,Xavier Becerra,DEM,"155,406",Attorney General,CA
149,San Diego,Dave Jones,DEM,"53,466",Attorney General,CA
150,San Diego,Steven C Bailey,REP,"103,119",Attorney General,CA
151,San Diego,Eric Early,REP,"75,537",Attorney General,CA
152,San Francisco,Xavier Becerra,DEM,"84,304",Attorney General,CA
153,San Francisco,Dave Jones,DEM,"30,217",Attorney General,CA
154,San Francisco,Steven C Bailey,REP,"12,188",Attorney General,CA
155,San Francisco,Eric Early,REP,"6,437",Attorney General,CA
156,San Joaquin,Xavier Becerra,DEM,"21,307",Attorney General,CA
157,San Joaquin,Dave Jones,DEM,"7,167",Attorney General,CA
158,San Joaquin,Steven C Bailey,REP,"17,763",Attorney General,CA
159,San Joaquin,Eric Early,REP,"9,084",Attorney General,CA
160,San Luis Obispo,Xavier Becerra,DEM,"21,003",Attorney General,CA
161,San Luis Obispo,Dave Jones,DEM,"6,752",Attorney General,CA
162,San Luis Obispo,Steven C Bailey,REP,"13,125",Attorney General,CA
163,San Luis Obispo,Eric Early,REP,"12,180",Attorney General,CA
164,San Mateo,Xavier Becerra,DEM,"40,636",Attorney General,CA
165,San Mateo,Dave Jones,DEM,"8,221",Attorney General,CA
166,San Mateo,Steven C Bailey,REP,"11,192",Attorney General,CA
167,San Mateo,Eric Early,REP,"6,023",Attorney General,CA
168,Santa Barbara,Xavier Becerra,DEM,"24,763",Attorney General,CA
169,Santa Barbara,Dave Jones,DEM,"6,575",Attorney General,CA
170,Santa Barbara,Steven C Bailey,REP,"14,458",Attorney General,CA
171,Santa Barbara,Eric Early,REP,"8,477",Attorney General,CA
172,Santa Clara,Xavier Becerra,DEM,"78,180",Attorney General,CA
173,Santa Clara,Dave Jones,DEM,"37,683",Attorney General,CA
174,Santa Clara,Steven C Bailey,REP,"30,656",Attorney General,CA
175,Santa Clara,Eric Early,REP,"18,068",Attorney General,CA
176,Santa Cruz,Xavier Becerra,DEM,"20,177",Attorney General,CA
177,Santa Cruz,Dave Jones,DEM,"6,948",Attorney General,CA
178,Santa Cruz,Steven C Bailey,REP,"5,693",Attorney General,CA
179,Santa Cruz,Eric Early,REP,"2,314",Attorney General,CA
180,Shasta,Xavier Becerra,DEM,"4,373",Attorney General,CA
181,Shasta,Dave Jones,DEM,"2,042",Attorney General,CA
182,Shasta,Steven C Bailey,REP,"9,326",Attorney General,CA
183,Shasta,Eric Early,REP,"4,884",Attorney General,CA
184,Sierra,Xavier Becerra,DEM,367,Attorney General,CA
185,Sierra,Dave Jones,DEM,123,Attorney General,CA
186,Sierra,Steven C Bailey,REP,468,Attorney General,CA
187,Sierra,Eric Early,REP,267,Attorney General,CA
188,Siskiyou,Xavier Becerra,DEM,"2,103",Attorney General,CA
189,Siskiyou,Dave Jones,DEM,875,Attorney General,CA
190,Siskiyou,Steven C Bailey,REP,"2,612",Attorney General,CA
191,Siskiyou,Eric Early,REP,"1,542",Attorney General,CA
192,Solano,Xavier Becerra,DEM,"29,451",Attorney General,CA
193,Solano,Dave Jones,DEM,"8,909",Attorney General,CA
194,Solano,Steven C Bailey,REP,"15,945",Attorney General,CA
195,Solano,Eric Early,REP,"8,819",Attorney General,CA
196,Sonoma,Xavier Becerra,DEM,"38,679",Attorney General,CA
197,Sonoma,Dave Jones,DEM,"9,052",Attorney General,CA
198,Sonoma,Steven C Bailey,REP,"11,826",Attorney General,CA
199,Sonoma,Eric Early,REP,"6,161",Attorney General,CA
200,Stanislaus,Xavier Becerra,DEM,"15,909",Attorney General,CA
201,Stanislaus,Dave Jones,DEM,"6,232",Attorney General,CA
202,Stanislaus,Steven C Bailey,REP,"14,048",Attorney General,CA
203,Stanislaus,Eric Early,REP,"9,128",Attorney General,CA
204,Sutter,Xavier Becerra,DEM,"2,804",Attorney General,CA
205,Sutter,Dave Jones,DEM,"1,080",Attorney General,CA
206,Sutter,Steven C Bailey,REP,"3,842",Attorney General,CA
207,Sutter,Eric Early,REP,"2,357",Attorney General,CA
208,Tehama,Xavier Becerra,DEM,"1,917",Attorney General,CA
209,Tehama,Dave Jones,DEM,868,Attorney General,CA
210,Tehama,Steven C Bailey,REP,"3,643",Attorney General,CA
211,Tehama,Eric Early,REP,"2,907",Attorney General,CA
212,Trinity,Xavier Becerra,DEM,"1,002",Attorney General,CA
213,Trinity,Dave Jones,DEM,368,Attorney General,CA
214,Trinity,Steven C Bailey,REP,"1,140",Attorney General,CA
215,Trinity,Eric Early,REP,582,Attorney General,CA
216,Tulare,Xavier Becerra,DEM,"8,240",Attorney General,CA
217,Tulare,Dave Jones,DEM,"3,001",Attorney General,CA
218,Tulare,Steven C Bailey,REP,"12,051",Attorney General,CA
219,Tulare,Eric Early,REP,"6,080",Attorney General,CA
220,Tuolumne,Xavier Becerra,DEM,"3,295",Attorney General,CA
221,Tuolumne,Dave Jones,DEM,"1,186",Attorney General,CA
222,Tuolumne,Steven C Bailey,REP,"3,903",Attorney General,CA
223,Tuolumne,Eric Early,REP,"1,673",Attorney General,CA
224,Ventura,Xavier Becerra,DEM,"43,273",Attorney General,CA
225,Ventura,Dave Jones,DEM,"12,918",Attorney General,CA
226,Ventura,Steven C Bailey,REP,"29,828",Attorney General,CA
227,Ventura,Eric Early,REP,"18,966",Attorney General,CA
228,Yolo,Xavier Becerra,DEM,"13,326",Attorney General,CA
229,Yolo,Dave Jones,DEM,"4,732",Attorney General,CA
230,Yolo,Steven C Bailey,REP,"4,839",Attorney General,CA
231,Yolo,Eric Early,REP,"3,217",Attorney General,CA
232,Yuba,Xavier Becerra,DEM,"1,565",Attorney General,CA
233,Yuba,Dave Jones,DEM,718,Attorney General,CA
234,Yuba,Steven C Bailey,REP,"2,462",Attorney General,CA
235,Yuba,Eric Early,REP,"1,601",Attorney General,CA
